№;P+, кВт;R+, кВар;Время;Дата
572;0.5940;0.0590;22:00;12.09.2019
573;0.6060;0.0630;22:30;12.09.2019
574;0.5830;0.0500;23:00;12.09.2019
575;0.6060;0.0640;23:30;12.09.2019
576;0.5980;0.0470;00:00;13.09.2019
577;0.5630;0.0470;00:30;13.09.2019
578;0.5520;0.0460;01:00;13.09.2019
579;0.5960;0.0600;01:30;13.09.2019
580;0.6050;0.0630;02:00;13.09.2019
581;0.5950;0.0590;02:30;13.09.2019
582;0.6040;0.0640;03:00;13.09.2019
583;0.5570;0.0520;03:30;13.09.2019
584;0.5780;0.0540;04:00;13.09.2019
585;0.5590;0.0480;04:30;13.09.2019
586;0.5650;0.0490;05:00;13.09.2019
587;0.5830;0.0500;05:30;13.09.2019
588;0.5410;0.0540;06:00;13.09.2019
589;0.5280;0.0480;06:30;13.09.2019
590;0.4780;0.0410;07:00;13.09.2019
591;0.5310;0.0480;07:30;13.09.2019
592;0.5580;0.0260;08:00;13.09.2019
593;0.6180;0.0370;08:30;13.09.2019
594;0.6710;0.0600;09:00;13.09.2019
595;0.6950;0.0530;09:30;13.09.2019
596;0.7120;0.0700;10:00;13.09.2019
597;0.7330;0.0810;10:30;13.09.2019
598;0.7330;0.0820;11:00;13.09.2019
599;0.8000;0.1030;11:30;13.09.2019
600;0.7420;0.0880;12:00;13.09.2019
